,eps,metric,algorithm,adjusted_rand_score,completeness_score,davies_bouldin_score,fowlkes_mallows_score,homogeneity_score,mutual_info_score,name,silhouette_score,v_measure_score
0,1.0,cosine,auto,0.0,1.0,,0.7244344961870955,0.0,0.0,DBSCAN_0,,0.0
1,1.0,cosine,brute,0.0,1.0,,0.7244344961870955,0.0,0.0,DBSCAN_1,,0.0
2,1.0,euclidean,auto,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_2,-0.08559469236255109,0.269277972311191
3,1.0,euclidean,ball_tree,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_3,-0.08559469236255109,0.269277972311191
4,1.0,euclidean,kd_tree,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_4,-0.08559469236255109,0.269277972311191
5,1.0,euclidean,brute,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_5,-0.08559469236255109,0.269277972311191
6,1.0,manhattan,auto,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_6,-0.08559469236255109,0.269277972311191
7,1.0,manhattan,ball_tree,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_7,-0.08559469236255109,0.269277972311191
8,1.0,manhattan,kd_tree,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_8,-0.08559469236255109,0.269277972311191
9,1.0,manhattan,brute,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_9,-0.08559469236255109,0.269277972311191
10,1.5,cosine,auto,0.0,1.0,,0.7244344961870955,0.0,0.0,DBSCAN_10,,0.0
11,1.5,cosine,brute,0.0,1.0,,0.7244344961870955,0.0,0.0,DBSCAN_11,,0.0
12,1.5,euclidean,auto,0.1268909976563685,0.2284224139063203,1.3808781035186557,0.538704988811273,0.41395379205067423,0.2761159181868169,DBSCAN_12,-0.07234371174407328,0.29439547588791065
13,1.5,euclidean,ball_tree,0.1268909976563685,0.2284224139063203,1.3808781035186557,0.538704988811273,0.41395379205067423,0.2761159181868169,DBSCAN_13,-0.07234371174407328,0.29439547588791065
14,1.5,euclidean,kd_tree,0.1268909976563685,0.2284224139063203,1.3808781035186557,0.538704988811273,0.41395379205067423,0.2761159181868169,DBSCAN_14,-0.07234371174407328,0.29439547588791065
15,1.5,euclidean,brute,0.1268909976563685,0.2284224139063203,1.3808781035186557,0.538704988811273,0.41395379205067423,0.2761159181868169,DBSCAN_15,-0.07234371174407328,0.29439547588791065
16,1.5,manhattan,auto,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_16,-0.08559469236255109,0.269277972311191
17,1.5,manhattan,ball_tree,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_17,-0.08559469236255109,0.269277972311191
18,1.5,manhattan,kd_tree,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_18,-0.08559469236255109,0.269277972311191
19,1.5,manhattan,brute,0.1265936276956386,0.21107303593328786,1.2857468020897176,0.565349384034055,0.37180627803311267,0.24800263657004618,DBSCAN_19,-0.08559469236255109,0.269277972311191
20,2.0,cosine,auto,0.0,1.0,,0.7244344961870955,0.0,0.0,DBSCAN_20,,0.0
21,2.0,cosine,brute,0.0,1.0,,0.7244344961870955,0.0,0.0,DBSCAN_21,,0.0
22,2.0,euclidean,auto,0.37613779617773974,0.3727795026577005,1.8184819947035822,0.6482126104281942,0.608356438944418,0.40578658765719744,DBSCAN_22,0.20374534147724863,0.4622862156654688
23,2.0,euclidean,ball_tree,0.37613779617773974,0.3727795026577005,1.8184819947035822,0.6482126104281942,0.608356438944418,0.40578658765719744,DBSCAN_23,0.20374534147724863,0.4622862156654688
24,2.0,euclidean,kd_tree,0.37613779617773974,0.3727795026577005,1.8184819947035822,0.6482126104281942,0.608356438944418,0.40578658765719744,DBSCAN_24,0.20374534147724863,0.4622862156654688
